BookID,BorrowingID,BorrowerID,BorrowDate,ReturnDate
0001,01105,0371,2022-06-14,2022-07-08
0001,02290,0179,2020-09-17,2020-10-15
0002,00693,1450,2012-03-19,2012-03-24
0002,01235,0592,2010-10-13,2010-11-10
0002,01527,0153,2007-09-22,2007-09-26
0003,00458,0599,2005-06-20,2005-07-13
0003,00522,0627,2006-01-27,2006-02-07
0003,01982,0824,2015-10-21,2015-11-19
0004,00332,0878,2004-02-15,2004-03-14
0004,00386,1200,2014-01-08,2014-01-12
0004,01990,0808,2015-06-08,2015-06-16
0005,02403,1160,2006-04-23,2006-05-21
0006,00840,0704,2019-07-18,2019-08-02
0006,01937,0097,2018-08-09,2018-08-29
0006,02355,1486,2020-11-28,2020-12-03
0006,02454,1354,2020-09-09,2020-09-25
0006,02586,0027,2017-03-09,2017-03-15
0007,00422,0904,2017-09-13,2017-10-13
0007,02663,0110,2022-09-08,2022-09-25
0008,00404,0429,2019-10-21,2019-10-29
0008,01412,0425,2008-11-16,2008-12-08
0008,02446,0166,2005-10-21,2005-10-28
0008,02475,0285,2008-04-14,2008-04-25
0008,02638,1243,2012-06-18,2012-07-01
0010,00576,0438,2015-02-18,2015-03-07
0010,01763,1058,2004-04-04,2004-04-06
0011,02268,0001,2008-10-28,2008-11-13
0012,00534,0009,2007-02-28,2007-03-04
0012,00683,1399,2008-11-16,2008-11-21
0012,01619,1015,2011-12-16,2012-01-10
0012,02509,0102,2003-10-10,2003-10-18
0013,01269,0453,2004-09-14,2004-09-25
0013,01664,1277,2016-12-13,2016-12-16
0013,02989,0298,2012-06-25,2012-06-27
0014,00433,0139,2014-10-15,2014-11-07
0014,01007,0842,2014-05-03,2014-05-11
0014,02970,1341,2022-04-12,2022-04-24
0015,01322,0801,2022-05-19,2022-05-26
0016,00026,0286,2005-01-19,2005-02-13
0016,00138,0312,2003-05-04,2003-05-28
0016,01949,0038,2003-07-22,2003-07-25
0016,02377,0782,2005-02-25,2005-03-27
0016,02486,0911,2007-07-03,2007-07-07
0017,02967,0331,2021-06-22,
0018,00598,1291,2015-04-15,2015-04-17
0018,00951,1170,2014-12-25,2014-12-26
0018,01289,0967,2020-06-13,
0019,00925,0918,2008-11-06,2008-11-15
0019,01067,0636,2002-12-08,2002-12-28
0019,01388,1286,2004-02-02,2004-02-24
0021,00824,0453,2008-05-02,2008-05-15
0021,02265,1403,2010-03-20,2010-03-31
0022,00584,0134,2008-01-05,2008-02-03
0023,00627,0366,2010-09-03,2010-09-09
0023,00756,0753,2021-05-02,2021-05-15
0023,01757,0218,2005-11-03,2005-12-03
0023,02044,1112,2012-06-07,2012-06-30
0024,00347,0576,2016-10-09,2016-10-28
0024,01991,0707,2002-07-15,2002-07-27
0025,00125,0963,2010-10-03,2010-10-17
0025,02013,1226,2006-12-08,2007-01-02
0025,02338,0074,2018-09-17,2018-09-23
0025,02991,0526,2002-08-02,2002-08-09
0026,01518,0632,2021-08-16,2021-09-14
0027,01804,0058,2006-05-26,2006-06-09
0028,00637,1308,2010-05-14,2010-05-23
0028,01496,0173,2019-03-02,2019-03-21
0028,02787,1207,2009-05-19,2009-06-10
0028,02973,0645,2007-01-03,2007-01-04
0029,00595,0685,2022-07-19,2022-08-07
0029,00872,1080,2016-11-28,2016-12-25
0029,02500,0560,2008-02-18,2008-03-18
0029,02920,1479,2012-02-01,2012-02-22
0031,00040,0814,2006-01-28,2006-02-01
0031,00965,0556,2018-06-14,2018-07-01
0031,01375,0940,2002-07-09,2002-07-26
0031,01822,0922,2004-07-26,2004-08-09
0032,00354,0386,2016-10-02,2016-10-19
0032,02713,0208,2003-01-22,2003-02-13
0033,00575,0856,2019-03-23,2019-04-21
0033,00667,0542,2014-08-07,2014-08-08
0033,00764,1035,2010-03-08,2010-03-26
0033,00822,0442,2021-02-25,2021-03-13
0033,01197,1134,2010-12-21,2010-12-31
0033,02461,0616,2020-11-07,2020-11-30
0033,02824,0265,2021-01-11,2021-01-13
0034,00058,1482,2009-01-26,2009-02-21
0034,01547,0632,2005-11-25,2005-12-03
0035,00551,0981,2021-07-20,2021-08-16
0036,00956,0167,2008-06-13,2008-06-27
0037,02768,0307,2019-09-10,2019-09-28
0038,00242,1386,2010-07-19,2010-07-31
0038,00826,0209,2020-07-13,2020-07-22
